SCO0002	GO:0003677;GO:0005524;GO:0016787
SCO0420	GO:0004412;GO:0006520;GO:0016491;GO:0050661;GO:0055114
SCO0421	GO:0000160;GO:0003677;GO:0006355
SCO0422	GO:0000155;GO:0000160;GO:0016021;GO:0046983
SCO0423	GO:0016020
SCO0427	GO:0003824
SCO0428	GO:0003677
SCO0429	GO:0016491;GO:0055114
SCO0430	GO:0003677
SCO0432	GO:0004252;GO:0006508
SCO0433	GO:0003677;GO:0006355
SCO0434	GO:0008982;GO:0009401;GO:0016020
SCO0435	GO:0003824;GO:0009058;GO:0030170
SCO0436	GO:0003735;GO:0006412;GO:0015934
SCO0438	GO:0005829;GO:0006508;GO:0008234;GO:0016920
SCO0441	GO:0003824;GO:0005975
SCO0447	GO:0003700;GO:0006355;GO:0006367
SCO0449	GO:0015762
SCO0451	GO:0003824
SCO0452	GO:0070403
SCO0453	GO:0005215;GO:0006810
SCO0454	GO:0006810;GO:0016020
SCO0455	GO:0006810;GO:0016020
SCO0456	GO:0003677;GO:0006355
SCO0457	GO:0004553;GO:0005975
SCO0458	GO:0004553;GO:0005975
SCO0461	GO:0003824
SCO0462	GO:0005737;GO:0008677;GO:0015940;GO:0016491;GO:0050661;GO:0055114
SCO0464	GO:0003824;GO:0005515
SCO0465	GO:0003824
SCO0466	GO:0003677;GO:0003700;GO:0006355;GO:0043565
SCO0469	GO:0051920;GO:0055114
SCO0471	GO:0003677;GO:0003700;GO:0006355;GO:0043565
SCO0472	GO:0005515
SCO0473	GO:0007155;GO:0030001;GO:0046872
SCO0475	GO:0005887;GO:0042626;GO:0043190;GO:0055085
SCO0476	GO:0005524;GO:0016887
SCO0479	GO:0046854
SCO0482	GO:0004568;GO:0005975;GO:0006032;GO:0016998
SCO0484	GO:0016491;GO:0055114;GO:0071949
SCO0485	GO:0003677
SCO0486	GO:0016491;GO:0055114;GO:0071949
SCO0487	GO:0003700;GO:0006355
SCO0488	GO:0003824;GO:0005515
SCO0491	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO0492	GO:0003824;GO:0008152;GO:0031177
SCO0493	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO0494	GO:0005488
SCO0495	GO:0005524;GO:0016887
SCO0496	GO:0005215;GO:0016020
SCO0497	GO:0005215;GO:0016020
SCO0498	GO:0016491;GO:0055114
SCO0499	GO:0003824;GO:0009058;GO:0016742
SCO0501	GO:0008239;GO:0016787
SCO0503	GO:0015996;GO:0047746
SCO0504	GO:0003676;GO:0005524
SCO0505	GO:0003824;GO:0030246
SCO0506	GO:0003952;GO:0005524;GO:0008795;GO:0009435
SCO0508	GO:0003677
SCO0509	GO:0004370;GO:0005975;GO:0006072;GO:0016773
SCO0511	GO:0016491
SCO0512	GO:0003677
SCO0514	GO:0046872
SCO0515	GO:0005515
SCO0516	GO:0005515
SCO0519	GO:0016491
SCO0520	GO:0003677
SCO0521	GO:0003677
SCO0522	GO:0016491
SCO0523	GO:0003700;GO:0005622;GO:0006355;GO:0043565
SCO0526	GO:0003824
SCO0527	GO:0003676;GO:0003677;GO:0006355
SCO0529	GO:0016491
SCO0530	GO:0003677;GO:0003700;GO:0006355
SCO0531	GO:0005215;GO:0006810
SCO0532	GO:0006810;GO:0016020
SCO0533	GO:0006810;GO:0016020
SCO0534	GO:0004553;GO:0004563;GO:0005975
SCO0535	GO:0004553;GO:0005975;GO:0030246;GO:0030248
SCO0538	GO:0005215;GO:0006810
SCO0539	GO:0006810;GO:0016020
SCO0540	GO:0006810;GO:0016020
SCO0541	GO:0003824;GO:0004553;GO:0005975;GO:0016616;GO:0055114
SCO0542	GO:0003824;GO:0005515;GO:0006355
SCO0546	GO:0003824;GO:0004736;GO:0005524;GO:0006090;GO:0006094;GO:0009374
SCO0547	GO:0003824;GO:0008152;GO:0016740
SCO0548	GO:0003824;GO:0008152
SCO0549	GO:0006633
SCO0551	GO:0000155;GO:0004871;GO:0007165;GO:0016021
SCO0552	GO:0000160;GO:0003677;GO:0006355
SCO0554	GO:0004553;GO:0005515;GO:0005975;GO:0030246;GO:0030247
SCO0555	GO:0016491;GO:0030151;GO:0042128;GO:0055114
SCO0557	GO:0003677;GO:0006355
SCO0560	GO:0004096;GO:0004601;GO:0006979;GO:0020037;GO:0055114
SCO0561	GO:0003700;GO:0006355
SCO0565	GO:0008299
SCO0568	GO:0008299
SCO0569	GO:0003735;GO:0005622;GO:0005840;GO:0006412
SCO0570	GO:0003735;GO:0005622;GO:0005840;GO:0006412
SCO0571	GO:0006508;GO:0008152;GO:0008237;GO:0016787
SCO0572	GO:0005215;GO:0016020;GO:0055085
SCO0574	GO:0003677;GO:0006355
SCO0575	GO:0006508;GO:0008236;GO:0016805
SCO0578	GO:0003824;GO:0004807;GO:0008152
SCO0579	GO:0004751;GO:0005975;GO:0016853
SCO0580	GO:0004371;GO:0006071
SCO0581	GO:0016021;GO:0055085
SCO0582	GO:0003700;GO:0006355
SCO0583	GO:0005506;GO:0016705;GO:0020037;GO:0055114
SCO0584	GO:0005506;GO:0016705;GO:0020037;GO:0055114
SCO0589	GO:0003700;GO:0006355
SCO0590	GO:0003824;GO:0009058
SCO0591	GO:0003796;GO:0005975;GO:0009253;GO:0016998
SCO0592	GO:0003824;GO:0016491;GO:0016614;GO:0050660;GO:0055114
SCO0595	GO:0016491
SCO0596	GO:0006879;GO:0006950;GO:0008199;GO:0016722;GO:0055114
SCO0597	GO:0019684;GO:0030077;GO:0045156
SCO0600	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0601	GO:0003677;GO:0006303
SCO0602	GO:0009252;GO:0016755
SCO0605	GO:0003677;GO:0003700;GO:0006355;GO:0043565
SCO0610	GO:0003677;GO:0003700;GO:0006355
SCO0611	GO:0016021
SCO0613	GO:0006527;GO:0016990
SCO0616	GO:0003824;GO:0005975;GO:0030246
SCO0617	GO:0005975;GO:0016832
SCO0619	GO:0016021
SCO0620	GO:0003677;GO:0006355;GO:0046872
SCO0621	GO:0004792
SCO0622	GO:0003677
SCO0623	GO:0006810;GO:0016021;GO:0055085
SCO0627	GO:0016787
SCO0628	GO:0016491;GO:0055114
SCO0629	GO:0003677;GO:0006355
SCO0630	GO:0008080
SCO0632	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0633	GO:0005886;GO:0016021
SCO0636	GO:0005524;GO:0016887
SCO0637	GO:0016491
SCO0639	GO:0004222;GO:0006508
SCO0640	GO:0003677;GO:0045892
SCO0641	GO:0006950
SCO0642	GO:0005515
SCO0645	GO:0008270;GO:0016491;GO:0055114
SCO0646	GO:0003677
SCO0647	GO:0016491
SCO0649	GO:0031412
SCO0650	GO:0005198;GO:0012506
SCO0651	GO:0031411;GO:0031412
SCO0655	GO:0005198;GO:0012506
SCO0656	GO:0031411;GO:0031412
SCO0657	GO:0005198;GO:0012506
SCO0658	GO:0031412
SCO0659	GO:0003700;GO:0005622;GO:0006355
SCO0660	GO:0005215;GO:0006810
SCO0661	GO:0006810;GO:0016020
SCO0662	GO:0006810;GO:0016020
SCO0663	GO:0008152;GO:0016616;GO:0051287;GO:0055114
SCO0666	GO:0004096;GO:0006979;GO:0020037;GO:0055114
SCO0667	GO:0016301
SCO0668	GO:0003824;GO:0016491;GO:0016614;GO:0050660;GO:0055114
SCO0669	GO:0003677
SCO0670	GO:0004368;GO:0006072;GO:0009331;GO:0016491;GO:0055114
SCO0672	GO:0006355;GO:0045152
SCO0674	GO:0004553;GO:0005975;GO:0030246;GO:0030247
SCO0675	GO:0003824;GO:0005515
SCO0676	GO:0003824;GO:0005515
SCO0677	GO:0005576;GO:0005975;GO:0016977
SCO0680	GO:0016021;GO:0055085
SCO0681	GO:0016491;GO:0055114
SCO0687	GO:0016491
SCO0689	GO:0009055;GO:0016491;GO:0046872;GO:0051536;GO:0051537;GO:0055114
SCO0690	GO:0003824;GO:0016491;GO:0016614;GO:0050660;GO:0055114
SCO0691	GO:0016491;GO:0055114
SCO0697	GO:0003677
SCO0700	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO0704	GO:0003677;GO:0043565
SCO0707	GO:0005215;GO:0006810;GO:0016020
SCO0708	GO:0005215;GO:0006810;GO:0016020
SCO0709	GO:0005524;GO:0016887
SCO0710	GO:0005524;GO:0016887
SCO0712	GO:0003677;GO:0005515;GO:0006355
SCO0713	GO:0016787
SCO0714	GO:0016491
SCO0717	GO:0003824
SCO0721	GO:0003824;GO:0005975;GO:0030246
SCO0722	GO:0008152;GO:0016787
SCO0724	GO:0003677;GO:0003700;GO:0005975;GO:0006355;GO:0030246
SCO0726	GO:0010181;GO:0016491;GO:0055114
SCO0728	GO:0003677
SCO0730	GO:0004733;GO:0010181;GO:0016491;GO:0055114
SCO0731	GO:0003824;GO:0009058;GO:0030170
SCO0732	GO:0004252;GO:0005576;GO:0006508;GO:0008236
SCO0735	GO:0016491
SCO0736	GO:0016740
SCO0741	GO:0008270;GO:0016491;GO:0055114
SCO0742	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO0745	GO:0003677
SCO0746	GO:0005515
SCO0748	GO:0003824;GO:0008152
SCO0749	GO:0008460;GO:0009225
SCO0751	GO:0003824;GO:0005515
SCO0752	GO:0004252;GO:0005576;GO:0006508;GO:0008236
SCO0755	GO:0005524;GO:0006508;GO:0006810;GO:0008233;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO0756	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO0760	GO:0003676;GO:0008168;GO:0008276;GO:0032259
SCO0761	GO:0043231;GO:0051537
SCO0762	GO:0004867
SCO0763	GO:0003824;GO:0010181;GO:0016491;GO:0055114
SCO0765	GO:0003824;GO:0004553;GO:0005975;GO:0008810;GO:0016798
SCO0766	GO:0004553;GO:0005975
SCO0767	GO:0003824;GO:0005515
SCO0769	GO:0016491;GO:0055114
SCO0770	GO:0003824
SCO0772	GO:0003677
SCO0773	GO:0005506;GO:0009055
SCO0774	GO:0005506;GO:0016705;GO:0020037;GO:0055114
SCO0775	GO:0016491;GO:0055114
SCO0776	GO:0006812;GO:0008324;GO:0016021;GO:0055085
SCO0777	GO:0005515
SCO0780	GO:0008270;GO:0016491;GO:0055114
SCO0781	GO:0006355;GO:0045152
SCO0782	GO:0000287;GO:0004749;GO:0009165
SCO0783	GO:0003924;GO:0005525
SCO0787	GO:0004553;GO:0005975
SCO0789	GO:0003677;GO:0003824;GO:0003887;GO:0006260
SCO0790	GO:0008152;GO:0016787
SCO0792	GO:0003824;GO:0050662
SCO0798	GO:0005515
SCO0799	GO:0010181;GO:0016491;GO:0055114
SCO0800	GO:0003677
SCO0801	GO:0005506;GO:0016705;GO:0020037;GO:0055114
SCO0803	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0805	GO:0006508;GO:0008233
SCO0806	GO:0003677;GO:0006355
SCO0807	GO:0005737;GO:0016857
SCO0808	GO:0015762
SCO0809	GO:0005215;GO:0006810;GO:0016020
SCO0810	GO:0005215;GO:0006810;GO:0016020
SCO0811	GO:0005524;GO:0016887
SCO0814	GO:0005975;GO:0016773
SCO0816	GO:0019516
SCO0818	GO:0005524;GO:0016887
SCO0819	GO:0016020
SCO0821	GO:0006520;GO:0030170
SCO0823	GO:0003700;GO:0006355
SCO0824	GO:0005524;GO:0016887
SCO0829	GO:0004252;GO:0004553;GO:0005576;GO:0005975;GO:0006508;GO:0008236;GO:0030246
SCO0836	GO:0016020;GO:0055085
SCO0838	GO:0004733;GO:0010181;GO:0016491;GO:0055114
SCO0839	GO:0016020
SCO0840	GO:0003700;GO:0006355
SCO0848	GO:0016491;GO:0055114
SCO0852	GO:0003824;GO:0008152;GO:0016829
SCO0855	GO:0008080
SCO0857	GO:0003677
SCO0860	GO:0000166;GO:0006812;GO:0016021;GO:0019829;GO:0030001;GO:0046872
SCO0864	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0866	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0870	GO:0000160
SCO0871	GO:0000155;GO:0004871;GO:0007165;GO:0016021;GO:0016310;GO:0016772
SCO0872	GO:0000160;GO:0003824
SCO0874	GO:0006812;GO:0008324;GO:0016021;GO:0055085
SCO0875	GO:0003700;GO:0006355
SCO0877	GO:0003677;GO:0005515;GO:0006355
SCO0879	GO:0005524;GO:0016887
SCO0882	GO:0005515
SCO0884	GO:0016491;GO:0045454;GO:0050660;GO:0055114
SCO0885	GO:0006662;GO:0015035;GO:0045454
SCO0886	GO:0003677;GO:0006355
SCO0887	GO:0003677
SCO0888	GO:0016491
SCO0889	GO:0003700;GO:0006355
SCO0890	GO:0016491
SCO0891	GO:0003677;GO:0043565
SCO0892	GO:0016021
SCO0894	GO:0016491;GO:0055114
SCO0895	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0898	GO:0000160;GO:0003677;GO:0005515;GO:0006355
SCO0899	GO:0003824
SCO0900	GO:0016021;GO:0055085
SCO0905	GO:0016020
SCO0906	GO:0004733;GO:0010181;GO:0016491;GO:0055114
SCO0907	GO:0004616;GO:0016491;GO:0051287;GO:0055114
SCO0908	GO:0003677
SCO0910	GO:0004357;GO:0042398;GO:0052699
SCO0911	GO:0016491;GO:0052699
SCO0912	GO:0016811;GO:0052699
SCO0913	GO:0008276;GO:0052699
SCO0914	GO:0005215;GO:0006810
SCO0917	GO:0016705;GO:0055114
SCO0918	GO:0005524;GO:0016887
SCO0920	GO:0008152;GO:0016746
SCO0922	GO:0009055;GO:0051536;GO:0051537
SCO0923	GO:0016491;GO:0055114
SCO0924	GO:0016627
SCO0925	GO:0003700;GO:0006355
SCO0927	GO:0003700;GO:0006355
SCO0936	GO:0003824;GO:0005975;GO:0016810
SCO0937	GO:0006950
SCO0938	GO:0003333;GO:0015171;GO:0016020
SCO0939	GO:0003824
SCO0940	GO:0003700;GO:0006355
SCO0942	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0945	GO:0003676;GO:0003684;GO:0003906;GO:0006284;GO:0006289;GO:0008270;GO:0016799
SCO0946	GO:0003824;GO:0005515
SCO0948	GO:0003824;GO:0004553;GO:0004559;GO:0005975;GO:0006013;GO:0008270;GO:0015923;GO:0030246
SCO0949	GO:0004553;GO:0005975
SCO0950	GO:0006810;GO:0016020
SCO0951	GO:0006810;GO:0016020
SCO0952	GO:0005215;GO:0006810
SCO0953	GO:0003677;GO:0006355
SCO0954	GO:0008080
SCO0958	GO:0004144;GO:0016746;GO:0045017
SCO0959	GO:0003824;GO:0005975;GO:0030246
SCO0960	GO:0004553;GO:0005975
SCO0961	GO:0005978;GO:0008878;GO:0009058;GO:0016779
SCO0963	GO:0051537
SCO0966	GO:0003824;GO:0050662
SCO0968	GO:0016705;GO:0055114
SCO0971	GO:0003700;GO:0006355
SCO0975	GO:0004616;GO:0006098;GO:0016491;GO:0055114
SCO0978	GO:0004068;GO:0006523
SCO0979	GO:0003824
SCO0981	GO:0003677;GO:0006355;GO:0043565
SCO0982	GO:0003824;GO:0004451;GO:0008152;GO:0019752
SCO0983	GO:0003824;GO:0004474;GO:0006097
SCO0984	GO:0003857;GO:0006631;GO:0016491;GO:0055114;GO:0070403
SCO0985	GO:0003871;GO:0008270;GO:0008652;GO:0009086
SCO0988	GO:0008080
SCO0991	GO:0005524
SCO0993	GO:0005524;GO:0046872
SCO0994	GO:0016021;GO:0055085
SCO0996	GO:0005488
SCO0997	GO:0005215;GO:0016020
SCO0998	GO:0005524;GO:0016887
SCO0999	GO:0004784;GO:0006801;GO:0046872;GO:0055114
SCO1000	GO:0003677;GO:0006310;GO:0015074
SCO1003	GO:0003677
SCO1005	GO:0003677;GO:0004803;GO:0006313
SCO1007	GO:0016491;GO:0055114;GO:0071949
SCO1008	GO:0003700;GO:0006355
SCO1010	GO:0005215;GO:0016021;GO:0022857;GO:0055085
SCO1011	GO:0005515
SCO1012	GO:0003858;GO:0016491;GO:0055114
SCO1013	GO:0016787
SCO1014	GO:0006807;GO:0016021;GO:0016410;GO:0016810;GO:0042158
SCO1018	GO:0006807;GO:0008152;GO:0016855;GO:0036361
SCO1020	GO:0006950
SCO1022	GO:0003824;GO:0030151;GO:0030170
SCO1024	GO:0005524
SCO1026	GO:0003700;GO:0005622;GO:0006355
SCO1031	GO:0016020
SCO1032	GO:0005524;GO:0016887
SCO1034	GO:0003677
SCO1036	GO:0008270;GO:0009056
SCO1037	GO:0006725;GO:0016853
SCO1041	GO:0003676;GO:0003677;GO:0005737;GO:0006306;GO:0008168;GO:0008170;GO:0008990;GO:0031167;GO:0032259
SCO1043	GO:0003700;GO:0005622;GO:0006355
SCO1045	GO:0005507;GO:0006825;GO:0030001;GO:0046872
SCO1046	GO:0000166;GO:0006812;GO:0016021;GO:0019829;GO:0030001;GO:0046872
SCO1049	GO:0008152;GO:0016491;GO:0055114
SCO1050	GO:0006879;GO:0006950;GO:0008199;GO:0016722;GO:0055114
SCO1052	GO:0003677
SCO1054	GO:0003824
SCO1055	GO:0003824;GO:0004553;GO:0005975;GO:0030246
SCO1057	GO:0006810;GO:0016020
SCO1058	GO:0006810;GO:0016020
SCO1059	GO:0004553;GO:0005975;GO:0008422;GO:0030245
SCO1062	GO:0004553;GO:0005975
SCO1063	GO:0006810;GO:0016020
SCO1064	GO:0006810;GO:0016020
SCO1065	GO:0005215;GO:0006810
SCO1066	GO:0003677;GO:0006355
SCO1067	GO:0016021;GO:0055085
SCO1068	GO:0046872
SCO1069	GO:0003700;GO:0006355
SCO1070	GO:0000160;GO:0003677;GO:0006355
SCO1071	GO:0000155;GO:0000160;GO:0016021;GO:0046983
SCO1073	GO:0016491;GO:0016628;GO:0055114;GO:0071949
SCO1074	GO:0008152;GO:0016787
SCO1075	GO:0016787
SCO1078	GO:0003677;GO:0006355
SCO1080	GO:0003824
SCO1081	GO:0009055;GO:0050660
SCO1082	GO:0009055
SCO1083	GO:0010181;GO:0016491;GO:0055114
SCO1084	GO:0045454
SCO1085	GO:0008152;GO:0016746
SCO1087	GO:0003824;GO:0006520;GO:0016829
SCO1088	GO:0016491
SCO1090	GO:0006629;GO:0008081
SCO1091	GO:0008080
SCO1094	GO:0003677
SCO1097	GO:0003824
SCO1098	GO:0003700;GO:0006355
